primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
April Butler,25000000.0,17501244.0,21038441.0,0.70004976,0.84153764,6.8,102.0,1,25000000,17501244,21038441
Ari Aster,10000000.0,44069456.0,70133905.0,4.4069456,7.0133905,7.3,151571.0,1,10000000,44069456,70133905
Ari Sandel,35000000.0,46697321.0,93291478.0,1.3342091714285715,2.6654708,5.6,11459.0,1,35000000,46697321,93291478
Ariel Schulman,10000000.0,65504256.0,140170040.0,11.1716699,24.5013938,5.633333333333333,82293.0,3,30000000,196512768,420510120
Ariel Vromen,20750000.0,8319489.0,21197435.5,0.3299854650793651,0.7965973071428571,6.6,58618.5,2,41500000,16638978,42394871
Arnaud des Pallières,20000000.0,41596251.0,78769428.0,2.07981255,3.9384714,6.1,584.0,1,20000000,41596251,78769428
Arshad Yusuf Pathan,15000000.0,6925901.0,9352500.5,0.5426613333333333,0.7448779583333334,5.5,49.0,2,30000000,13851802,18705001
Artie Mandelberg,175000000.0,356461711.0,854235992.0,2.036924062857143,4.8813485257142855,4.6,1566.0,1,175000000,356461711,854235992
Asger Leth,42000000.0,18620000.0,49621440.0,0.44333333333333336,1.1814628571428571,6.6,137507.0,1,42000000,18620000,49621440
Ash Brannon,60000000.0,9420546.0,24148488.0,0.1570091,0.4024748,5.9,3991.0,1,60000000,9420546,24148488
Aslaug Holm,19500000.0,14600422.5,31450279.0,0.5741833269230769,1.5530239615384616,7.7,310.0,2,39000000,29200845,62900558
Atsushi Wada,425000000.0,760507625.0,2776345279.0,1.789429705882353,6.532577127058824,6.1,43.0,1,425000000,760507625,2776345279
Ava DuVernay,41066666.666666664,50930774.0,66805088.0,1.5877986220064724,1.9393409009708737,6.033333333333334,37975.666666666664,3,123200000,152792322,200415264
Ayan Mukherjee,8300000.0,3827466.0,50827466.0,0.46114048192771084,6.123791084337349,7.1,33971.0,1,8300000,3827466,50827466
Azime Kanal,11000000.0,5599781.0,72989781.0,0.509071,6.6354346363636365,4.5,56.0,1,11000000,5599781,72989781
B.V.S. Ravi,75000000.0,134508551.0,342416460.0,1.7934473466666667,4.5655528,4.5,95.0,1,75000000,134508551,342416460
Babak Najafi,45000000.0,41696449.0,108451812.0,0.8688461333333333,1.988443025,5.4,65781.0,2,90000000,83392898,216903624
Baltasar Kormákur,46500000.0,54266935.25,127523530.5,1.3670138525761124,2.7917666164294723,6.725,127245.5,4,186000000,217067741,510094122
Banjong Pisanthanakun,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.9445794666666667,7.8,1454.0,1,15000000,13843771,59168692
Banzragch Batbold,70000000.0,66432867.0,123954323.0,0.9490409571428572,1.7707760428571429,4.0,32.0,1,70000000,66432867,123954323
Barney Elliott,20000000.0,31177548.0,46604054.0,1.5588774,2.3302027,6.1,624.0,1,20000000,31177548,46604054
Baron Norris,16000000.0,12431792.0,12617472.0,0.776987,0.788592,6.4,13.0,1,16000000,12431792,12617472
Barry Cook,85000000.0,46462469.0,149717124.0,0.5466172823529412,1.7613779294117646,7.1,45439.0,1,85000000,46462469,149717124
Barry Jenkins,6750000.0,21385352.0,42552339.5,9.906467541666666,22.575969291666667,7.300000000000001,126738.0,2,13500000,42770704,85104679
Barry Levinson,15000000.0,3020665.0,3386153.0,0.20137766666666668,0.22574353333333333,5.5,9587.0,1,15000000,3020665,3386153
Barry Sonnenfeld,215000000.0,179020854.0,654213485.0,0.8326551348837209,3.042853418604651,6.8,309879.0,1,215000000,179020854,654213485
Baz Luhrmann,98500000.0,85686809.5,188786809.5,2.2763875687969923,2.8190191477443607,7.3,433165.0,2,197000000,171373619,377573619
Ben Affleck,48833333.333333336,79530106.66666667,133827356.66666667,1.9026478493073886,3.187569050637327,7.233333333333334,301483.3333333333,3,146500000,238590320,401482070
Ben Falcone,26333333.333333332,66887634.333333336,80273257.66666667,2.7233411919540225,3.2415082840996168,5.266666666666667,36399.0,3,79000000,200662903,240819773
Ben Lewin,1000000.0,6002451.0,11495204.0,6.002451,11.495204,7.2,39731.0,1,1000000,6002451,11495204
Ben Stiller,70500000.0,43542765.5,121604938.0,0.6084695563736264,1.5856912321978023,6.0,167607.0,2,141000000,87085531,243209876
Ben Younger,16000000.0,5083906.0,6603926.0,0.317744125,0.412745375,6.8,21946.0,1,16000000,5083906,6603926
Benh Zeitlin,1800000.0,12795746.0,23265132.0,7.108747777777777,12.925073333333334,7.3,77440.0,1,1800000,12795746,23265132
Bennett Miller,50000000.0,75605492.0,111300835.0,1.51210984,2.2260167,7.6,326657.0,1,50000000,75605492,111300835
Benny Boom,45000000.0,44922302.0,54876855.0,0.9982733777777778,1.2194856666666667,5.8,18541.0,1,45000000,44922302,54876855
Benny Jaberg,5500000.0,1060512.0,1060512.0,0.19282036363636362,0.19282036363636362,6.1,206.0,1,5500000,1060512,1060512
Benson Lee,20000000.0,8888355.0,16723377.0,0.44441775,0.83616885,5.1,8769.0,1,20000000,8888355,16723377
Bentley Dean,90000000.0,100920329.0,165900000.0,1.1213369888888889,1.8433333333333333,7.3,23.0,1,90000000,100920329,165900000
Bernard Rose,45000000.0,22006296.0,112006296.0,0.4890288,2.4890288,5.1,2089.0,1,45000000,22006296,112006296
Bethany Ashton Wolf,3500000.0,16376066.0,16376066.0,4.678876,4.678876,6.7,10316.0,1,3500000,16376066,16376066
Bill Boyce,130000000.0,101200044.0,352831065.0,0.7784618769230769,2.7140851153846155,5.6,223.0,1,130000000,101200044,352831065
Bill Condon,68666666.66666667,294441867.6666667,624595003.3333334,7.359370764262819,12.84275122852564,6.866666666666667,171014.0,3,206000000,883325603,1873785010
Bill Gillane,8000000.0,16170632.0,68838736.0,2.021329,8.604842,7.0,57.0,1,8000000,16170632,68838736
Bill Holderman,10000000.0,68566296.0,91113683.0,6.8566296,9.1113683,6.1,18728.0,1,10000000,68566296,91113683
Bille Woodruff,5000000.0,13530145.5,13840646.0,2.7060291,2.7681291999999997,5.050000000000001,5346.0,2,10000000,27060291,27681292
Billy Ray,20000000.0,20180155.0,32608019.0,1.00900775,1.63040095,6.3,37455.0,1,20000000,20180155,32608019
Bivas Biswas,40000000.0,7388654.0,16340767.0,0.18471635,0.408519175,5.3,26.0,1,40000000,7388654,16340767
Blair Treu,2000000.0,6047363.0,6049171.0,3.0236815,3.0245855,6.9,1897.0,1,2000000,6047363,6049171
Bo Burnham,2000000.0,13539710.0,14341016.0,6.769855,7.170508,7.5,43256.0,1,2000000,13539710,14341016
Bo Du,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.9445794666666667,6.2,13.0,1,15000000,13843771,59168692
Bo Huang,71000000.0,25767870.5,89367870.5,0.5064461071969697,1.0364461071969697,6.2,1001.0,2,142000000,51535741,178735741
Boaz Yakin,26500000.0,29899167.5,42576685.0,1.3261348598484848,1.7201692734848484,6.65,60182.0,2,53000000,59798335,85153370
